ID	DepMap
NCIH2023	ACH-000781
DND41	ACH-000981
CAMA1	ACH-000783
KYSE70	ACH-000784
NCIH2126	ACH-000785
DAUDI	ACH-000786
LXF289	ACH-000787
A2058	ACH-000788
NCIH810	ACH-000789
SHP77	ACH-000790
RERFLCAD1	ACH-000791
BFTC909	ACH-000792
KATOIII	ACH-000793
BICR22	ACH-000794
MOLT4	ACH-001127
MCAS	ACH-000796
HLFA	ACH-000797
CL40	ACH-000798
HS695T	ACH-000799
NCIH446	ACH-000800
HS936T	ACH-000801
BFTC905	ACH-000802
COLO668	ACH-000803
NB1	ACH-000804
COLO679	ACH-000805
L540	ACH-000806
SNU738	ACH-000807
HUH28	ACH-000808
KYSE410	ACH-000809
SKMEL30	ACH-000810
SKOV3	ACH-000811
COLO783	ACH-000812
T3M10	ACH-000813
HS939T	ACH-000814
KMH2	ACH-000815
NCIH524	ACH-000816
RPMI8226	ACH-000817
LN18	ACH-000819
SW403	ACH-000820
EJM	ACH-000821
SKMEL24	ACH-000822
KYSE140	ACH-000823
KYSE510	ACH-000824
HOP92	ACH-000825
CAL12T	ACH-000826
WM793	ACH-000827
HUNS1	ACH-000829
NCIH1436	ACH-000830
HEC50B	ACH-000831
CAL27	ACH-000832
RH30	ACH-000833
UMUC1	ACH-000834
GCT	ACH-000835
YD15	ACH-000836
NCIH322	ACH-000837
AMO1	ACH-000838
SCABER	ACH-000839
HCC366	ACH-000840
NCIH2087	ACH-000841
SW480	ACH-000842
HARA	ACH-000843
DMS454	ACH-000844
NCIH1373	ACH-000845
FADU	ACH-000846
HGC27	ACH-000847
JHH7	ACH-000848
MDAMB468	ACH-000849
HS698T	ACH-000850
MORCPR	ACH-000851
NCIH1435	ACH-000852
NCIH661	ACH-000853
OCIMY5	ACH-000854
KYSE150	ACH-000855
CAL51	ACH-000856
CAL851	ACH-000857
KNS62	ACH-000858
HCC1954	ACH-000859
NCIH358	ACH-000860
HOP62	ACH-000861
KMBC2	ACH-000862
DBTRG05MG	ACH-000863
COLO684	ACH-000864
KYSE450	ACH-000865
NCIH1048	ACH-000866
CHAGOK1	ACH-000867
HCC1195	ACH-000868
NCIH1568	ACH-000869
NCIH1930	ACH-000870
NCIH510	ACH-000871
HCC515	ACH-000872
KYSE270	ACH-000873
HSB2	ACH-001737
NCIH2347	ACH-000875
MDAMB415	ACH-000876
EB1	ACH-000877
HCC15	ACH-000878
MFE296	ACH-000879
AGS	ACH-000880
MELJUSO	ACH-000881
IGR1	ACH-000882
SW1783	ACH-000883
MDAMB435S	ACH-000884
TOV21G	ACH-000885
NCIH2009	ACH-000886
SF172	ACH-000887
NCIH1793	ACH-000888
KMM1	ACH-000889
SW1271	ACH-000890
HCC1438	ACH-000891
NCIH1563	ACH-000892
NCIH1651	ACH-000893
NCIH1869	ACH-000894
CL34	ACH-000895
647V	ACH-000896
FTC238	ACH-000897
SNU719	ACH-000898
WM88	ACH-000899
NCIH23	ACH-000900
HCC1359	ACH-000901
BT20	ACH-000536
FTC133	ACH-000903
NCIH2106	ACH-000904
5637	ACH-000905
ES2	ACH-000906
SNU349	ACH-000907
SNU520	ACH-000908
JHUEM2	ACH-000909
MDAMB453	ACH-000910
NUGC3	ACH-000911
NCIH2286	ACH-000912
ESS1	ACH-000913
IPC298	ACH-000915
NCIH1573	ACH-000916
TE4	ACH-000917
LOUCY	ACH-000104
IM95	ACH-000919
CMLT1	ACH-000920
NCIH1339	ACH-000921
RS411	ACH-000874
NCIH2172	ACH-000924
DV90	ACH-000925
HT55	ACH-000926
BT474	ACH-000927
JHUEM1	ACH-000928
NCIH2110	ACH-000929
HDQP1	ACH-000643
HMCB	ACH-000931
SNU1	ACH-000932
SNU324	ACH-000933
MDAMB175VII	ACH-000759
MDST8	ACH-000935
